"Site","Lat_m","T_m","T_sd"
"Puntudo",47.8307167012865,12.1042003518499,2.37765231832032
"Las_Cabras",47.0261227788984,18.2710926649382,3.59966573413446
"Utah",10.0533288977062,38.8456794898876,2.04267911941162
"Australia",59.4569122994532,9.4983121491594,2.25304465070322
"India",47.7228555963867,17.4384150033638,1.49540734725771
"Santa_Clara",45.7411595133014,19.7805837386844,3.64758501631425
"Lagonegro",16.6301113321731,37.2046383655147,1.21680052144517
"Turkey",12.4441356408385,37.2873443569983,1.08114563088861
"Hungary",20.4217514321469,35.3955432659084,1.16688362630717
"Germany",20.7325035003402,36.5206940985869,1.14210228368164
"Palazzo_Adriano",19.5432897208816,35.9158101984553,1.29708416189486
"Poland",22.2543262616234,36.8118862579554,1.38412482899584
"Nanpanjiang",12.8146957963579,37.0324836411289,1.05420960568115
"Yangtze",12.7038701064587,39.1402383412302,1.12743584939597
"Ramon",9.50688769657306,40.4567338853922,1.0044300543989
"Hamieshar",9.58258425588696,40.1541307498721,1.02645646368225
"Nafha",9.22052063593518,41.7429714168082,1.01879718175796
"David",9.99387060202701,38.7251175158319,1.04651252899412
"Switzerland",14.5230795345211,41.9052401210737,1.0167715944703
"Baden-Wurttemberg",16.838128870967,40.412667036372,1.04237665338441
"Austria",9.02359518239714,41.7365596807464,1.04315164854551
"Rio_Sacuz",16.4770925666262,37.26471162952,1.19223243057633
"Palus_San Marco",11.5940462874562,39.1494760429503,1.0730320723694
