"Site","Lat_m","T_m","T_sd"
"Puntudo",47.9649759097228,7.84588544892553,0.797852610262795
"Las_Cabras",46.7281540764875,23.7495324609791,2.57023299921998
"Utah",10.0357198110391,32.6862784846725,2.08049607702194
"Australia",61.5536664591988,16.9576619568269,2.41431768308351
"India",45.7623784500933,23.7078067303064,1.87376539324773
"Santa_Clara",45.5402444269574,24.6017725901637,2.54669276891054
"Antarctica",73.5390541436145,10.927343911448,0.292358606581108
"Lagonegro",12.1868173304432,31.8127170422219,1.04270527745801
"Turkey",6.78503748376814,31.0599270663003,1.12279624409622
"Hungary",10.1746269550441,29.6118707352924,1.12326772236398
"Germany",20.0742442374099,31.5871922774039,1.06569559288303
"Palazzo_Adriano",9.5035972704897,28.5063833114142,1.13359634465328
"Poland",22.6438324343776,32.5691146821749,1.09892021342219
"Nanpanjiang",6.65744199957416,30.9912325627125,1.12232229134365
"Yangtze",14.9662548655786,33.3247402671886,1.07363896552036
"Ramon",10.6589199952842,34.4501083140869,1.05843819261677
"Hamieshar",10.5861113688256,34.2767024577092,1.06289224466558
"Nafha",11.207002716358,35.9496841376147,1.06141733500654
"David",9.53546267741336,32.2689682794995,1.0880404746814
"Switzerland",16.369656076956,37.2856126060407,1.04184926902536
"Baden-Wurttemberg",17.9811814809243,35.9057220171707,0.967769465197868
"Austria",14.368773474392,36.6763152775412,0.984164001294844
"Rio_Sacuz",12.1320315914815,31.7660640170771,1.0923436577092
"Palus_San Marco",13.4008089104221,33.2609518035299,1.06640294879725
